Effective_Vertical_Stress,Axial_Strain,Void_Ratio
5,1.383,1.383
15,1.342,1.342
35,1.283,1.283
80,1.205,1.205
160,1.112,1.112
320,0.996,0.996
640,0.847,0.847
320,0.876,0.876
160,0.909,0.909
320,0.883,0.883
640,0.84,0.84
1280,0.668,0.668
640,0.695,0.695
320,0.724,0.724
160,0.751,0.751
80,0.781,0.781
40,0.8,0.8
20,0.828,0.828
10,0.875,0.875

